timestamp_utc,latitude,longitude
2026-09-15T11:02:11Z,24.5326,-148.8302
2026-09-15T11:03:19Z,20.4707,-145.1933
2026-09-16T17:32:43Z,37.4641,-15.5211
2026-09-17T00:43:06Z,-50.3765,124.6253
2026-09-17T22:14:19Z,-47.4683,109.3388
2026-09-18T09:06:31Z,-50.7130,-40.6084
2026-09-18T14:12:24Z,5.8478,-9.2425
2026-09-18T19:37:49Z,-7.4080,89.3691
2026-09-19T17:33:46Z,-49.4752,176.9197
2026-09-19T20:36:39Z,-45.4645,116.1345
2026-09-20T04:35:49Z,-40.4208,78.3134
2026-09-20T18:02:16Z,-10.5195,104.2467
2026-09-20T20:41:05Z,51.6048,-35.8755
2026-09-21T01:17:46Z,50.8253,-118.3192
2026-09-22T01:45:52Z,14.6771,164.0064
2026-09-22T13:58:56Z,-13.0841,-44.8806
2026-09-22T21:20:51Z,-49.9838,104.1105
2026-09-23T13:37:38Z,51.5550,51.5225
2026-09-23T19:05:53Z,-50.3103,169.1318
2026-09-23T22:51:30Z,49.6805,-106.5652
2026-09-24T21:10:32Z,-37.7558,62.0527
